scale,Q,prover time (s),verifier time (ms),proof size (KB),pk time (s),vk time (s)
0.01,Q1,33.246978298,8.814932,7.469,4.832653468,5.996174682
0.01,Q3,59.12803392,15.690358,18.281,4.691954173,12.092607453
0.01,Q5,76.060147356,17.071647,22.930,2.014885978,1.711962063
0.01,Q8,104.212770156,21.536375,29.609,3.093006877,3.819524481
0.01,Q9,83.336205186,20.862547,27.656,7.662550339,23.694750674
0.01,Q18,49.123722631,15.59441,15.625,5.216328734,11.217210632
0.02,Q1,61.286692503,8.263865,7.469,9.999562793,9.82892835
0.02,Q3,117.395337618,15.645016,18.281,9.809671556,22.068141641
0.02,Q5,147.612946784,18.591273,22.930,4.8200673,2.940217589
0.02,Q8,202.667382301,22.108684,29.641,6.645756668,6.613245167
0.02,Q9,170.526869395,21.318279,27.688,15.460635447,43.02653911
0.02,Q18,101.647135923,NA,15.656,11.517582117,21.037034684
0.04,Q1,123.426895209,7.883005,7.469,20.294213071,19.517682055
0.04,Q3,233.472887211,16.685416,18.281,22.299397921,40.50009774
0.04,Q5,298.625160219,19.666742,22.930,10.270686391,5.342525986
0.04,Q8,405.313703154,21.494433,29.609,13.619310181,12.967556692
0.04,Q9,346.93727767,21.411757,27.688,31.980850394,78.70951453
0.04,Q18,201.792596286,NA,15.656,24.462453704,40.530050821
